customer_id,start_date,end_date,start_of_period_mrr,end_of_period_mrr,retention_status,revenue_lost_churn_downgrade
60,1/1/2024,2/1/2024,4582,4582,Retained,0
61,1/1/2024,2/1/2024,4808,3029.04,Downgrade,1490.48
62,1/1/2024,2/1/2024,1382,1382,Retained,0
63,1/1/2024,2/1/2024,4226,4226,Retained,0
64,1/1/2024,2/1/2024,3889,3889,Retained,0
65,1/1/2024,2/1/2024,2886,2886,Retained,0
66,1/1/2024,2/1/2024,3235,3235,Retained,0
67,1/1/2024,2/1/2024,2305,2305,Retained,0
68,1/1/2024,2/1/2024,3173,3173,Retained,0
69,1/1/2024,2/1/2024,3505,3505,Retained,0
70,1/1/2024,2/1/2024,4053,4053,Retained,0
71,1/1/2024,2/1/2024,1063,1063,Retained,0
72,1/1/2024,2/1/2024,4722,4722,Retained,0
73,1/1/2024,2/1/2024,2449,2449,Retained,0
74,1/1/2024,2/1/2024,4531,4531,Retained,0
75,1/1/2024,2/1/2024,3885,3885,Retained,0
76,1/1/2024,2/1/2024,639,639,Retained,0
77,1/1/2024,2/1/2024,1587,1587,Retained,0
78,1/1/2024,2/1/2024,4794,4794,Retained,0
79,1/1/2024,2/1/2024,599,599,Retained,0
80,1/1/2024,2/1/2024,4957,4957,Retained,0
81,1/1/2024,2/1/2024,1494,1494,Retained,0
82,1/1/2024,2/1/2024,4818,4818,Retained,0
83,1/1/2024,2/1/2024,4773,4773,Retained,0
84,1/1/2024,2/1/2024,2579,2579,Retained,0
85,1/1/2024,2/1/2024,2904,2904,Retained,0
86,1/1/2024,2/1/2024,4063,4063,Retained,0
87,1/1/2024,2/1/2024,3593,3593,Retained,0
88,1/1/2024,2/1/2024,2571,1388.34,Downgrade,257.1
89,1/1/2024,2/1/2024,1671,1671,Retained,0
90,1/1/2024,2/1/2024,4145,4145,Retained,0
91,1/1/2024,2/1/2024,3410,3410,Retained,0
92,1/1/2024,2/1/2024,1754,1754,Retained,0
93,1/1/2024,2/1/2024,4871,4871,Retained,0
94,1/1/2024,2/1/2024,889,889,Retained,0
95,1/1/2024,2/1/2024,3405,3405,Retained,0
96,1/1/2024,2/1/2024,1661,1661,Retained,0
97,1/1/2024,2/1/2024,4889,4889,Retained,0
98,1/1/2024,2/1/2024,1318,724.9,Downgrade,316.32
99,1/1/2024,2/1/2024,4910,4910,Retained,0
100,1/1/2024,2/1/2024,2053,2053,Retained,0
101,1/1/2024,2/1/2024,668,668,Retained,0
102,1/1/2024,2/1/2024,1131,1131,Retained,0
103,1/1/2024,2/1/2024,2033,2033,Retained,0
104,1/1/2024,2/1/2024,4133,4133,Retained,0
105,1/1/2024,2/1/2024,1308,1308,Retained,0
106,1/1/2024,2/1/2024,4094,4094,Retained,0
107,1/1/2024,2/1/2024,3397,3397,Retained,0
108,1/1/2024,2/1/2024,4247,4247,Retained,0
109,1/1/2024,2/1/2024,3323,3323,Retained,0
110,1/1/2024,2/1/2024,2629,2629,Retained,0
111,1/1/2024,2/1/2024,2828,2828,Retained,0
112,1/1/2024,2/1/2024,3292,3292,Retained,0
113,1/1/2024,2/1/2024,1896,1896,Retained,0
114,1/1/2024,2/1/2024,4285,4285,Retained,0
115,1/1/2024,2/1/2024,4832,4832,Retained,0
116,1/1/2024,2/1/2024,2674,2674,Retained,0
117,1/1/2024,2/1/2024,4270,4270,Retained,0
118,1/1/2024,2/1/2024,4516,4516,Retained,0
119,1/1/2024,2/1/2024,2723,2723,Retained,0
120,1/1/2024,2/1/2024,2347,2347,Retained,0
121,1/1/2024,2/1/2024,2360,2360,Retained,0
122,1/1/2024,2/1/2024,3683,3683,Retained,0
123,1/1/2024,2/1/2024,4166,4166,Retained,0
124,1/1/2024,2/1/2024,3146,3146,Retained,0
125,1/1/2024,2/1/2024,3455,3455,Retained,0
126,1/1/2024,2/1/2024,4515,4515,Retained,0
127,1/1/2024,2/1/2024,1076,0,Churn,1076
128,1/1/2024,2/1/2024,4938,4938,Retained,0
129,1/1/2024,2/1/2024,1352,1352,Retained,0
130,1/1/2024,2/1/2024,4640,4640,Retained,0
131,1/1/2024,2/1/2024,824,824,Retained,0
132,1/1/2024,2/1/2024,2371,2371,Retained,0
133,1/1/2024,2/1/2024,766,766,Retained,0
134,1/1/2024,2/1/2024,3862,3862,Retained,0
135,1/1/2024,2/1/2024,2235,2235,Retained,0
136,1/1/2024,2/1/2024,3136,2696.96,Downgrade,313.6
137,1/1/2024,2/1/2024,1034,1034,Retained,0
138,1/1/2024,2/1/2024,4383,4383,Retained,0
139,1/1/2024,2/1/2024,683,683,Retained,0
140,1/1/2024,2/1/2024,4587,3761.34,Downgrade,2110.02
141,1/1/2024,2/1/2024,925,925,Retained,0
142,1/1/2024,2/1/2024,4235,0,Churn,4235
143,1/1/2024,2/1/2024,1092,1092,Retained,0
144,1/1/2024,2/1/2024,2887,2887,Retained,0
145,1/1/2024,2/1/2024,2437,1340.35,Downgrade,1047.91
146,1/1/2024,2/1/2024,1285,1285,Retained,0
147,1/1/2024,2/1/2024,1145,1145,Retained,0
148,1/1/2024,2/1/2024,4706,4706,Retained,0
149,1/1/2024,2/1/2024,1059,645.99,Downgrade,497.73
150,1/1/2024,2/1/2024,2414,2414,Retained,0
151,1/1/2024,2/1/2024,4987,2593.24,Downgrade,2294.02
152,1/1/2024,2/1/2024,636,636,Retained,0
153,1/1/2024,2/1/2024,2787,2787,Retained,0
154,1/1/2024,2/1/2024,2511,2511,Retained,0
155,1/1/2024,2/1/2024,1558,1558,Retained,0
156,1/1/2024,2/1/2024,2405,2405,Retained,0
157,1/1/2024,2/1/2024,695,695,Retained,0
158,1/1/2024,2/1/2024,2745,2745,Retained,0
159,1/1/2024,2/1/2024,4384,4384,Retained,0
160,1/1/2024,2/1/2024,4440,4440,Retained,0
161,1/1/2024,2/1/2024,4769,4769,Retained,0
162,1/1/2024,2/1/2024,1960,1960,Retained,0
163,1/1/2024,2/1/2024,1457,1457,Retained,0
164,1/1/2024,2/1/2024,3928,3928,Retained,0
165,1/1/2024,2/1/2024,2831,1500.43,Downgrade,792.68
166,1/1/2024,2/1/2024,1092,764.4,Downgrade,207.48
167,1/1/2024,2/1/2024,1467,836.19,Downgrade,616.14
168,1/1/2024,2/1/2024,783,783,Retained,0
169,1/1/2024,2/1/2024,4774,4774,Retained,0
170,1/1/2024,2/1/2024,723,723,Retained,0
171,1/1/2024,2/1/2024,888,888,Retained,0
172,1/1/2024,2/1/2024,1308,0,Churn,1308
173,1/1/2024,2/1/2024,3563,3563,Retained,0
174,1/1/2024,2/1/2024,2883,2883,Retained,0
175,1/1/2024,2/1/2024,2038,2038,Retained,0
176,1/1/2024,2/1/2024,684,684,Retained,0
177,1/1/2024,2/1/2024,1205,1205,Retained,0
178,1/1/2024,2/1/2024,4178,4178,Retained,0
179,1/1/2024,2/1/2024,1387,1387,Retained,0
180,1/1/2024,2/1/2024,3802,3802,Retained,0
181,1/1/2024,2/1/2024,4821,4821,Retained,0
182,1/1/2024,2/1/2024,4691,4691,Retained,0
183,1/1/2024,2/1/2024,3723,2196.57,Downgrade,1563.66
184,1/1/2024,2/1/2024,3294,3294,Retained,0
185,1/1/2024,2/1/2024,2371,2371,Retained,0
186,1/1/2024,2/1/2024,3706,3706,Retained,0
187,1/1/2024,2/1/2024,2276,2276,Retained,0
188,1/1/2024,2/1/2024,3813,3813,Retained,0
189,1/1/2024,2/1/2024,691,393.87,Downgrade,110.56
190,1/1/2024,2/1/2024,4042,0,Churn,4042
191,1/1/2024,2/1/2024,3394,2172.16,Downgrade,1663.06
192,1/1/2024,2/1/2024,1494,1494,Retained,0
193,1/1/2024,2/1/2024,3862,3862,Retained,0
194,1/1/2024,2/1/2024,1309,1007.93,Downgrade,261.8
195,1/1/2024,2/1/2024,2392,2392,Retained,0
196,1/1/2024,2/1/2024,1076,957.64,Downgrade,430.4
197,1/1/2024,2/1/2024,3345,3345,Retained,0
198,1/1/2024,2/1/2024,4801,2928.61,Downgrade,2064.43
199,1/1/2024,2/1/2024,1495,1495,Retained,0
200,1/1/2024,2/1/2024,1827,1827,Retained,0
