customer_id,acquisition_date,subscription_date,termination_date
131,12/29/2023,5/29/2023,
132,9/16/2023,3/27/2023,2/2/2024
133,2/18/2023,5/3/2023,1/12/2024
134,12/4/2023,7/31/2023,
135,3/9/2023,3/25/2023,
136,11/19/2023,9/28/2023,
137,8/30/2023,4/28/2023,
138,7/28/2023,1/8/2024,
139,9/26/2023,1/4/2024,
140,3/15/2023,12/11/2023,
141,8/25/2023,8/26/2023,
142,4/25/2023,4/12/2023,3/2/2024
143,11/2/2023,6/25/2023,
144,7/12/2023,11/1/2023,7/28/2024
145,1/2/2023,11/8/2023,
146,5/23/2023,7/15/2023,11/28/2023
147,1/30/2023,7/20/2023,7/27/2023
148,1/7/2023,5/10/2023,
149,2/8/2023,12/15/2023,8/5/2024
150,6/9/2023,5/7/2023,11/14/2023
151,6/21/2023,7/29/2023,
152,10/13/2023,10/15/2023,
153,3/2/2023,12/1/2023,
154,11/12/2023,10/20/2023,6/19/2024
155,6/16/2023,12/18/2023,
156,12/23/2023,10/8/2023,
157,5/25/2023,11/19/2023,12/23/2023
158,8/1/2023,3/25/2023,
159,10/18/2023,4/22/2023,3/23/2024
160,3/2/2023,5/6/2023,
161,11/18/2023,5/11/2023,
162,9/21/2023,5/8/2023,
163,1/11/2023,8/4/2023,
164,2/21/2023,11/21/2023,
165,7/22/2023,2/28/2023,
166,6/28/2023,12/17/2023,
167,12/14/2023,1/28/2023,
168,1/18/2023,1/23/2023,
169,12/11/2023,2/3/2023,
170,2/28/2023,8/30/2023,
171,3/6/2023,3/3/2023,
172,7/5/2023,9/20/2023,
173,5/17/2023,1/19/2023,
174,5/24/2023,11/22/2023,11/16/2024
175,12/28/2023,9/30/2023,
176,11/27/2023,2/21/2023,5/17/2024
177,5/25/2023,12/7/2023,12/1/2024
178,4/26/2023,6/1/2023,12/1/2023
179,4/14/2023,2/5/2023,2/27/2024
180,5/21/2023,1/19/2023,
181,3/18/2023,9/1/2023,
182,4/23/2023,1/6/2024,12/11/2023
183,10/9/2023,3/11/2023,
184,1/31/2023,3/1/2023,8/24/2024
185,8/2/2023,9/16/2023,
186,9/24/2023,3/4/2023,
187,2/25/2023,4/14/2023,
188,9/27/2023,4/30/2023,
189,9/1/2023,5/12/2023,
190,8/27/2023,4/6/2023,
191,1/22/2023,12/2/2023,1/16/2024
192,8/23/2023,11/24/2023,
193,9/28/2023,12/23/2023,
194,3/19/2023,10/9/2023,
195,5/19/2023,5/12/2023,10/9/2024
196,2/7/2023,5/28/2023,6/2/2024
197,7/14/2023,9/10/2023,
198,5/26/2023,5/27/2023,
199,8/27/2023,3/29/2023,
200,2/22/2023,1/17/2024,9/29/2024
201,2/6/2023,12/21/2023,
202,1/3/2023,11/7/2023,
203,12/7/2023,8/28/2023,
204,11/22/2023,2/3/2023,6/3/2024
205,10/23/2023,8/2/2023,
206,7/23/2023,2/23/2023,
207,3/7/2023,5/6/2023,
208,8/29/2023,2/17/2023,7/26/2024
209,4/27/2023,2/22/2023,
210,3/21/2023,6/26/2023,
211,12/24/2023,6/11/2023,
212,2/2/2023,6/19/2023,
213,9/8/2023,9/27/2023,
214,10/6/2023,9/6/2023,1/25/2024
215,2/3/2023,3/12/2023,
216,11/27/2023,3/2/2023,
217,6/16/2023,4/18/2023,
218,4/1/2023,12/8/2023,4/14/2024
219,3/23/2023,5/13/2023,
220,9/1/2023,3/9/2023,
221,6/18/2023,5/20/2023,
222,11/29/2023,8/19/2023,
223,5/24/2023,9/3/2023,
224,9/6/2023,10/9/2023,6/23/2024
225,12/27/2023,2/1/2023,
226,11/28/2023,3/18/2023,4/1/2024
227,8/23/2023,8/5/2023,2/25/2024
228,5/19/2023,8/25/2023,6/8/2023
229,6/5/2023,10/3/2023,
230,3/4/2023,3/6/2023,
231,8/4/2023,8/13/2023,
232,10/6/2023,2/4/2023,9/3/2023
233,7/7/2023,3/20/2023,
234,3/28/2023,12/20/2023,
235,8/14/2023,7/27/2023,
236,8/6/2023,9/30/2023,
237,10/27/2023,5/4/2023,
238,8/31/2023,2/7/2023,4/15/2024
239,12/1/2023,12/10/2023,
240,8/29/2023,8/31/2023,8/7/2023
241,1/22/2023,12/28/2023,
242,3/20/2023,7/31/2023,
243,10/25/2023,12/28/2023,
244,6/1/2023,2/23/2023,
245,6/27/2023,1/13/2024,
246,11/13/2023,4/16/2023,
247,11/9/2023,11/6/2023,3/9/2024
248,4/26/2023,4/7/2023,
249,7/21/2023,9/6/2023,
250,4/5/2023,9/15/2023,
251,2/6/2023,10/28/2023,6/8/2023
252,2/26/2023,12/25/2023,
253,9/29/2023,6/15/2023,1/12/2024
254,2/1/2023,4/1/2023,12/2/2023
255,1/26/2023,8/23/2023,4/27/2024
256,12/8/2023,9/11/2023,11/6/2024
257,2/26/2023,6/19/2023,
258,11/30/2023,4/6/2023,3/23/2024
259,1/17/2023,6/25/2023,
260,5/10/2023,7/3/2023,
261,6/6/2023,7/23/2023,
262,2/15/2023,5/20/2023,
263,10/26/2023,2/10/2023,
264,9/13/2023,1/14/2023,11/16/2023
265,7/17/2023,10/14/2023,
266,10/15/2023,10/24/2023,3/28/2024
267,10/6/2023,12/11/2023,
268,4/27/2023,8/25/2023,11/3/2023
269,12/28/2023,9/17/2023,
270,4/2/2023,8/11/2023,
271,1/5/2023,3/8/2023,10/13/2024
272,9/6/2023,1/14/2023,6/20/2023
273,7/14/2023,2/10/2023,10/11/2023
274,5/24/2023,12/12/2023,
275,2/27/2023,8/16/2023,
276,2/10/2023,2/22/2023,12/8/2023
277,6/22/2023,9/30/2023,
278,4/6/2023,7/20/2023,
279,11/14/2023,7/5/2023,
280,4/14/2023,4/29/2023,
281,5/18/2023,1/22/2023,2/18/2024
282,8/3/2023,1/29/2023,
283,7/1/2023,2/26/2023,9/29/2024
284,8/14/2023,9/20/2023,
285,9/28/2023,2/26/2023,
286,8/26/2023,11/25/2023,
287,4/4/2023,10/30/2023,11/9/2023
288,2/21/2023,3/11/2023,
289,12/2/2023,1/30/2023,
290,8/23/2023,5/10/2023,
291,12/16/2023,12/30/2023,
292,11/18/2023,10/18/2023,
293,4/23/2023,11/19/2023,
294,11/15/2023,11/6/2023,
295,6/17/2023,12/23/2023,
296,2/4/2023,10/28/2023,
297,1/25/2023,9/8/2023,2/5/2024
298,11/28/2023,11/14/2023,
299,1/19/2023,12/3/2023,
300,8/12/2023,1/3/2024,
301,4/16/2023,4/17/2023,
302,6/19/2023,3/6/2023,
303,5/26/2023,4/13/2023,
304,10/26/2023,5/30/2023,
305,2/20/2023,3/3/2023,
306,3/5/2023,10/31/2023,
307,12/14/2023,6/3/2023,
308,3/6/2023,5/6/2023,
309,1/23/2023,2/13/2023,6/19/2024
310,12/20/2023,12/9/2023,
311,2/23/2023,3/7/2023,7/22/2023
312,12/26/2023,12/21/2023,
313,1/21/2023,8/20/2023,
314,1/16/2023,5/11/2023,
315,11/4/2023,1/18/2024,
316,10/29/2023,4/5/2023,
317,10/16/2023,12/22/2023,
318,1/19/2023,9/6/2023,
319,5/24/2023,7/5/2023,
320,12/24/2023,9/10/2023,
321,7/5/2023,3/20/2023,
322,3/23/2023,8/15/2023,
323,8/5/2023,11/2/2023,3/20/2024
324,7/16/2023,5/2/2023,
325,6/4/2023,6/6/2023,
326,5/8/2023,11/29/2023,10/24/2024
327,6/8/2023,1/17/2024,
328,3/26/2023,12/28/2023,
329,11/12/2023,11/6/2023,
330,2/1/2023,5/28/2023,1/9/2024
331,10/11/2023,6/27/2023,9/13/2023
332,1/20/2023,4/13/2023,
333,9/24/2023,12/23/2023,4/25/2024
334,2/28/2023,6/5/2023,
335,2/4/2023,2/23/2023,
336,12/24/2023,5/10/2023,
337,10/15/2023,6/7/2023,
338,5/6/2023,3/2/2023,
339,12/13/2023,12/9/2023,
340,6/2/2023,10/7/2023,
341,1/2/2023,8/6/2023,9/25/2024
342,1/1/2023,10/30/2023,
343,10/28/2023,4/11/2023,
344,7/10/2023,1/22/2024,
345,5/1/2023,2/21/2023,
346,7/21/2023,4/19/2023,
347,2/10/2023,2/7/2023,
348,9/13/2023,4/16/2023,
349,9/8/2023,6/22/2023,10/14/2023
350,6/19/2023,5/3/2023,
351,12/17/2023,7/1/2023,
352,11/13/2023,8/25/2023,
353,5/24/2023,2/26/2023,
354,12/11/2023,5/1/2023,
355,3/14/2023,11/16/2023,
356,8/26/2023,12/2/2023,6/11/2023
357,7/28/2023,4/15/2023,
358,9/28/2023,2/19/2023,8/15/2024
359,6/14/2023,12/5/2023,
360,4/14/2023,9/21/2023,1/24/2024
361,5/25/2023,8/12/2023,
362,12/31/2023,5/21/2023,
363,8/1/2023,12/31/2023,7/24/2024
364,9/18/2023,2/2/2023,8/5/2024
365,9/18/2023,8/2/2023,
366,7/1/2023,11/1/2023,
367,10/21/2023,6/5/2023,
368,9/11/2023,3/6/2023,
369,1/16/2023,1/8/2024,
370,1/16/2023,9/18/2023,
371,9/25/2023,5/4/2023,
372,8/24/2023,5/26/2023,
373,5/11/2023,4/21/2023,
374,6/17/2023,6/12/2023,
375,5/21/2023,4/8/2023,
376,1/21/2023,5/25/2023,
377,2/13/2023,10/7/2023,
378,3/2/2023,5/23/2023,
379,9/2/2023,8/29/2023,
380,1/31/2023,7/6/2023,
381,7/22/2023,2/19/2023,
382,12/14/2023,7/17/2023,
383,8/26/2023,12/17/2023,
384,3/18/2023,10/14/2023,
385,9/22/2023,2/8/2023,
386,2/3/2023,6/23/2023,
387,3/22/2023,11/25/2023,
388,10/21/2023,11/14/2023,
389,3/30/2023,5/30/2023,
390,9/20/2023,5/17/2023,11/5/2024
391,12/15/2023,12/26/2023,
392,9/10/2023,3/23/2023,
393,6/1/2023,2/17/2023,9/28/2024
394,11/12/2023,5/3/2023,
395,4/29/2023,12/13/2023,
396,11/5/2023,3/1/2023,4/16/2024
397,8/9/2023,4/21/2023,
398,11/10/2023,5/7/2023,4/7/2024
399,11/17/2023,2/28/2023,2/3/2024
400,2/21/2023,11/26/2023,
401,1/28/2023,11/17/2023,
402,2/12/2023,2/9/2023,
403,12/19/2023,6/30/2023,4/12/2024
404,12/7/2023,6/18/2023,
405,10/15/2023,7/8/2023,
406,7/4/2023,12/23/2023,
407,7/25/2023,5/22/2023,
408,12/22/2023,2/22/2023,
409,3/16/2023,9/11/2023,
410,6/12/2023,10/5/2023,
411,4/17/2023,1/13/2023,
412,12/17/2023,12/11/2023,
413,6/5/2023,12/21/2023,11/26/2023
414,3/24/2023,5/20/2023,
415,4/7/2023,4/9/2023,
416,8/5/2023,7/29/2023,
417,8/6/2023,11/2/2023,
418,12/30/2023,2/25/2023,
419,9/1/2023,12/31/2023,1/8/2024
420,11/2/2023,11/27/2023,
421,2/12/2023,11/18/2023,5/1/2023
422,7/3/2023,5/2/2023,10/12/2023
423,11/23/2023,7/10/2023,
424,4/26/2023,11/26/2023,
425,2/19/2023,5/22/2023,12/24/2023
426,3/25/2023,12/8/2023,
427,5/31/2023,6/5/2023,
428,8/23/2023,4/13/2023,
429,2/2/2023,6/27/2023,11/18/2023
430,10/3/2023,12/19/2023,
431,12/7/2023,10/2/2023,
432,3/29/2023,5/27/2023,
433,6/15/2023,2/15/2023,3/16/2024
434,3/6/2023,8/30/2023,1/25/2024
435,6/30/2023,7/23/2023,
436,12/31/2023,4/12/2023,
437,5/28/2023,8/14/2023,
438,2/18/2023,8/6/2023,
439,6/29/2023,6/26/2023,
440,7/29/2023,6/11/2023,
441,9/1/2023,8/7/2023,
442,2/24/2023,10/14/2023,10/30/2023
443,12/23/2023,7/20/2023,
444,3/9/2023,6/22/2023,
445,2/27/2023,6/16/2023,
446,3/21/2023,3/7/2023,
447,5/23/2023,5/11/2023,
448,4/13/2023,7/8/2023,
449,5/21/2023,11/28/2023,9/15/2023
450,10/14/2023,8/26/2023,11/20/2024
451,7/10/2023,4/15/2023,
452,11/26/2023,8/5/2023,
453,1/30/2023,7/9/2023,
454,11/4/2023,10/21/2023,4/10/2024
455,3/19/2023,6/27/2023,6/10/2023
456,5/22/2023,4/26/2023,
457,12/13/2023,12/31/2023,
458,3/20/2023,4/29/2023,
459,8/22/2023,2/10/2023,7/14/2024
460,7/13/2023,5/8/2023,3/9/2024
461,10/31/2023,12/29/2023,11/20/2024
462,8/28/2023,3/15/2023,
463,8/9/2023,10/18/2023,
464,5/7/2023,5/29/2023,
465,9/13/2023,2/28/2023,11/4/2023
466,7/20/2023,5/20/2023,
467,12/7/2023,2/20/2023,
468,3/17/2023,6/27/2023,
469,11/4/2023,2/17/2023,10/29/2024
470,11/11/2023,4/20/2023,
471,10/15/2023,10/19/2023,
472,5/4/2023,2/11/2023,7/10/2024
473,7/3/2023,8/22/2023,
474,7/13/2023,5/20/2023,
475,8/16/2023,12/8/2023,
476,3/29/2023,9/7/2023,
477,6/6/2023,4/17/2023,4/13/2024
478,6/23/2023,11/13/2023,
479,8/18/2023,10/21/2023,
480,7/11/2023,6/11/2023,9/18/2023
481,5/27/2023,8/17/2023,2/23/2024
482,4/26/2023,5/4/2023,
483,2/7/2023,1/22/2023,
484,11/10/2023,1/19/2023,
485,5/26/2023,2/28/2023,
486,10/7/2023,3/21/2023,7/25/2024
487,4/16/2023,8/22/2023,4/21/2024
488,8/8/2023,10/11/2023,
489,10/18/2023,2/26/2023,
490,7/5/2023,2/3/2023,
491,10/19/2023,3/30/2023,
492,1/30/2023,7/15/2023,
493,6/2/2023,10/22/2023,
494,8/31/2023,8/14/2023,
495,9/28/2023,6/30/2023,
496,8/5/2023,8/20/2023,
497,1/27/2023,11/21/2023,
498,8/25/2023,6/14/2023,
499,2/7/2023,12/12/2023,
500,9/2/2023,5/29/2023,
