customer_id,acquisition_date,start_of_period_date,end_of_period_date,start_of_period_status,end_of_period_status,churn_date
96,6/28/2023,3/1/2025,3/31/2025,Active,Active,
97,2/20/2023,3/1/2025,3/31/2025,Active,Active,
98,8/18/2024,3/1/2025,3/31/2025,Active,Active,
99,4/5/2024,3/1/2025,3/31/2025,Active,Active,
100,1/4/2023,3/1/2025,3/31/2025,Active,Active,
101,2/11/2023,3/1/2025,3/31/2025,Active,Active,
102,2/2/2024,3/1/2025,3/31/2025,Active,Active,
103,3/12/2023,3/1/2025,3/31/2025,Active,Active,
104,1/1/2023,3/1/2025,3/31/2025,Active,Active,
105,8/30/2024,3/1/2025,3/31/2025,Active,Active,
106,3/25/2023,3/1/2025,3/31/2025,Active,Active,
107,3/10/2024,3/1/2025,3/31/2025,Active,Active,
108,9/30/2023,3/1/2025,3/31/2025,Active,Active,
109,12/9/2024,3/1/2025,3/31/2025,Active,Active,
110,10/7/2023,3/1/2025,3/31/2025,Active,Active,
111,7/18/2023,3/1/2025,3/31/2025,Active,Active,
112,10/1/2024,3/1/2025,3/31/2025,Active,Active,
113,11/7/2024,3/1/2025,3/31/2025,Active,Active,
114,11/4/2023,3/1/2025,3/31/2025,Active,Active,
115,8/23/2024,3/1/2025,3/31/2025,Active,Active,
116,4/2/2023,3/1/2025,3/31/2025,Active,Active,
117,2/17/2023,3/1/2025,3/31/2025,Active,Active,
118,11/23/2024,3/1/2025,3/31/2025,Active,Active,
119,4/22/2023,3/1/2025,3/31/2025,Active,Active,
120,11/21/2024,3/1/2025,3/31/2025,Active,Active,
121,4/20/2024,3/1/2025,3/31/2025,Active,Active,
122,3/13/2023,3/1/2025,3/31/2025,Active,Active,
123,5/10/2024,3/1/2025,3/31/2025,Active,Active,
124,4/20/2024,3/1/2025,3/31/2025,Active,Churned,3/13/2025
125,6/24/2024,3/1/2025,3/31/2025,Active,Active,
126,12/4/2023,3/1/2025,3/31/2025,Active,Active,
127,3/9/2024,3/1/2025,3/31/2025,Active,Active,
128,7/8/2024,3/1/2025,3/31/2025,Active,Active,
129,8/4/2024,3/1/2025,3/31/2025,Active,Active,
130,3/27/2023,3/1/2025,3/31/2025,Active,Active,
131,10/7/2023,3/1/2025,3/31/2025,Active,Active,
132,2/23/2024,3/1/2025,3/31/2025,Active,Churned,3/3/2025
133,9/8/2024,3/1/2025,3/31/2025,Active,Active,
134,3/15/2024,3/1/2025,3/31/2025,Active,Active,
135,12/11/2023,3/1/2025,3/31/2025,Active,Active,
136,5/4/2024,3/1/2025,3/31/2025,Active,Active,
137,2/10/2023,3/1/2025,3/31/2025,Active,Active,
138,12/6/2023,3/1/2025,3/31/2025,Active,Active,
139,9/20/2024,3/1/2025,3/31/2025,Active,Active,
140,12/31/2023,3/1/2025,3/31/2025,Active,Active,
141,8/4/2023,3/1/2025,3/31/2025,Active,Churned,3/30/2025
142,10/17/2023,3/1/2025,3/31/2025,Active,Active,
143,12/26/2023,3/1/2025,3/31/2025,Active,Active,
144,11/8/2024,3/1/2025,3/31/2025,Active,Active,
145,8/19/2023,3/1/2025,3/31/2025,Active,Active,
146,3/3/2023,3/1/2025,3/31/2025,Active,Active,
147,6/13/2024,3/1/2025,3/31/2025,Active,Active,
148,6/23/2023,3/1/2025,3/31/2025,Active,Churned,3/12/2025
149,7/7/2024,3/1/2025,3/31/2025,Active,Active,
150,7/28/2024,3/1/2025,3/31/2025,Active,Active,
151,6/29/2024,3/1/2025,3/31/2025,Active,Active,
152,4/8/2024,3/1/2025,3/31/2025,Active,Active,
153,9/29/2024,3/1/2025,3/31/2025,Active,Active,
154,9/13/2024,3/1/2025,3/31/2025,Active,Active,
155,5/19/2023,3/1/2025,3/31/2025,Active,Active,
156,6/24/2024,3/1/2025,3/31/2025,Active,Active,
157,5/5/2024,3/1/2025,3/31/2025,Active,Active,
158,12/24/2024,3/1/2025,3/31/2025,Active,Active,
159,12/30/2024,3/1/2025,3/31/2025,Active,Active,
160,10/2/2023,3/1/2025,3/31/2025,Active,Active,
161,4/8/2023,3/1/2025,3/31/2025,Active,Active,
162,11/23/2023,3/1/2025,3/31/2025,Active,Active,
163,4/7/2024,3/1/2025,3/31/2025,Active,Churned,3/3/2025
164,6/17/2023,3/1/2025,3/31/2025,Active,Active,
165,3/28/2024,3/1/2025,3/31/2025,Active,Active,
166,8/18/2023,3/1/2025,3/31/2025,Active,Active,
167,4/24/2023,3/1/2025,3/31/2025,Active,Active,
168,4/28/2024,3/1/2025,3/31/2025,Active,Churned,3/29/2025
169,11/21/2023,3/1/2025,3/31/2025,Active,Active,
170,11/10/2023,3/1/2025,3/31/2025,Active,Active,
171,10/27/2024,3/1/2025,3/31/2025,Active,Active,
172,1/21/2024,3/1/2025,3/31/2025,Active,Churned,3/2/2025
173,7/15/2024,3/1/2025,3/31/2025,Active,Active,
174,8/11/2024,3/1/2025,3/31/2025,Active,Active,
175,12/28/2023,3/1/2025,3/31/2025,Active,Active,
176,4/11/2023,3/1/2025,3/31/2025,Active,Active,
177,11/3/2024,3/1/2025,3/31/2025,Active,Active,
178,6/20/2023,3/1/2025,3/31/2025,Active,Active,
179,7/27/2024,3/1/2025,3/31/2025,Active,Active,
180,1/16/2024,3/1/2025,3/31/2025,Active,Active,
181,11/30/2024,3/1/2025,3/31/2025,Active,Active,
182,3/28/2024,3/1/2025,3/31/2025,Active,Active,
183,2/3/2024,3/1/2025,3/31/2025,Active,Active,
184,8/19/2024,3/1/2025,3/31/2025,Active,Churned,3/10/2025
185,6/19/2024,3/1/2025,3/31/2025,Active,Active,
186,10/20/2024,3/1/2025,3/31/2025,Active,Active,
187,10/12/2024,3/1/2025,3/31/2025,Active,Churned,3/24/2025
188,9/1/2023,3/1/2025,3/31/2025,Active,Active,
189,4/7/2023,3/1/2025,3/31/2025,Active,Active,
190,1/19/2023,3/1/2025,3/31/2025,Active,Active,
191,12/15/2024,3/1/2025,3/31/2025,Active,Active,
192,1/8/2024,3/1/2025,3/31/2025,Active,Active,
193,8/26/2023,3/1/2025,3/31/2025,Active,Active,
194,1/12/2024,3/1/2025,3/31/2025,Active,Active,
195,7/27/2023,3/1/2025,3/31/2025,Active,Active,
196,12/6/2023,3/1/2025,3/31/2025,Active,Active,
197,9/3/2024,3/1/2025,3/31/2025,Active,Active,
198,12/5/2023,3/1/2025,3/31/2025,Active,Active,
199,10/16/2024,3/1/2025,3/31/2025,Active,Active,
200,11/18/2023,3/1/2025,3/31/2025,Active,Active,
